pi,pi_window,issue_number,issue_title,issue_url,person,role,fte,obj_start,obj_end,pi_fraction,weighted_fte
PI 26.4,2026-07-12 to 2026-10-17,10,[Comms]-[Objective 1]: COG pipeline hardening,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/10,Bob Martinez,Backend,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,10,[Comms]-[Objective 1]: COG pipeline hardening,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/10,Liam Walsh,Data Curator,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,10,[Comms]-[Objective 1]: COG pipeline hardening,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/10,Sam Okoro,ML,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,11,[Backend]-[Objective 2]: S3 ingestion API v2,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/11,Owen Clark,Geospatial,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,11,[Backend]-[Objective 2]: S3 ingestion API v2,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/11,Rae Thompson,Frontend,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,11,[Backend]-[Objective 2]: S3 ingestion API v2,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/11,Sam Okoro,ML,0.3,2026-07-12,2026-10-17,1.0,0.3
PI 26.4,2026-07-12 to 2026-10-17,12,[Comms]-[Objective 3]: Disaster dashboard redesign,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/12,Devon Lee,Frontend,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,13,[Comms]-[Objective 4]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/13,Bob Martinez,Backend,0.4,2026-08-12,2026-09-30,0.51,0.2
PI 26.4,2026-07-12 to 2026-10-17,13,[Comms]-[Objective 4]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/13,Carla Diaz,Geospatial,0.8,2026-08-12,2026-09-30,0.51,0.41
PI 26.4,2026-07-12 to 2026-10-17,13,[Comms]-[Objective 4]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/13,Morgan Reyes,Jupyterhub,0.8,2026-08-12,2026-09-30,0.51,0.41
PI 26.4,2026-07-12 to 2026-10-17,13,[Comms]-[Objective 4]: Flood extent model,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/13,Nadia Hassan,Backend,1.0,2026-08-12,2026-09-30,0.51,0.51
PI 26.4,2026-07-12 to 2026-10-17,14,[ML]-[Objective 5]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/14,Bob Martinez,Backend,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,14,[ML]-[Objective 5]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/14,Nadia Hassan,Backend,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,14,[ML]-[Objective 5]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/14,Priya Patel,Data Curator,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,14,[ML]-[Objective 5]: CSDA catalog automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/14,Yuki Tanaka,ML,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 6]: Stakeholder reporting portal,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/15,Bob Martinez,Backend,0.75,2026-07-12,2026-10-17,1.0,0.75
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 6]: Stakeholder reporting portal,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/15,Devon Lee,Frontend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 6]: Stakeholder reporting portal,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/15,Liam Walsh,Data Curator,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,15,[Backend]-[Objective 6]: Stakeholder reporting portal,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/15,Taylor Brooks,Comms,0.4,2026-07-12,2026-10-17,1.0,0.4
PI 26.4,2026-07-12 to 2026-10-17,16,[PM]-[Objective 7]: Notebook environment upgrade,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/16,Priya Patel,Data Curator,0.5,2026-07-12,2026-10-17,1.0,0.5
PI 26.4,2026-07-12 to 2026-10-17,18,[Data Curator]-[Objective 9]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/18,Alice Nguyen,PM,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,18,[Data Curator]-[Objective 9]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/18,Carla Diaz,Geospatial,0.2,2026-07-12,2026-10-17,1.0,0.2
PI 26.4,2026-07-12 to 2026-10-17,18,[Data Curator]-[Objective 9]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/18,Taylor Brooks,Comms,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,18,[Data Curator]-[Objective 9]: Auth & access control,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/18,Yuki Tanaka,ML,0.25,2026-07-12,2026-10-17,1.0,0.25
PI 26.4,2026-07-12 to 2026-10-17,19,[Data Curator]-[Objective 10]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/19,Bob Martinez,Backend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,19,[Data Curator]-[Objective 10]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/19,Devon Lee,Frontend,0.8,2026-07-12,2026-10-17,1.0,0.8
PI 26.4,2026-07-12 to 2026-10-17,19,[Data Curator]-[Objective 10]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/19,Jordan Kim,Designer,1.0,2026-07-12,2026-10-17,1.0,1.0
PI 26.4,2026-07-12 to 2026-10-17,19,[Data Curator]-[Objective 10]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/19,Owen Clark,Geospatial,0.1,2026-07-12,2026-10-17,1.0,0.1
PI 26.4,2026-07-12 to 2026-10-17,19,[Data Curator]-[Objective 10]: Data QA automation,https://github.com/Disasters-Learning-Portal/disasters-aws-conversion/issues/19,Taylor Brooks,Comms,0.5,2026-07-12,2026-10-17,1.0,0.5
